annotated_form_rank,model,normalised_annotated_text,distinct_annotations,affected_documents,affected_archives,affected_reviewers,example_surface_forms,example_documents,archives,reviewers,most_common_error_category,most_common_subrule,most_common_rule_assignments,all_rule_assignments,cross_context_prompt_candidate,display_label
1130,Llama 3.3 70B · 12 000 TPM,dice:,1,1,1,1,dice:,BnF_283_12,bnf_283,Javier,Puntuación,Punto (.),1,Puntuación — Punto (.),False,dice:
1131,Llama 3.3 70B · 12 000 TPM,dice; que,1,1,1,1,dice; que,BnF_174_03,bnf_174,Arturo,Puntuación,No sub-rule assigned,1,Puntuación — No sub-rule assigned,False,dice; que
1132,GPT OSS 120B · 8 000 TPM,dicho,1,1,1,1,dicho,AGN_Indios_v002_exp835,agn_indios,Paloma,Cambios,Deleción,1,Cambios — Deleción,False,dicho
1133,Llama 3.3 70B · 12 000 TPM,dicho,1,1,1,1,dicho,AGN_AHHacienda_v268_exp046_02,agn_ahhacienda,Paloma,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa | Filológicas - instrucciones — Regularización de labiales (b/v),False,dicho
1134,Llama 3.3 70B · 12 000 TPM,"dichos, no",1,1,1,1,"dichos, no",BnF_075_026,bnf_075,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"dichos, no"
1135,GPT OSS 120B · 8 000 TPM,dicion,1,1,1,1,dicion,AGN_GralParte_v006_exp617_01,agn_gralparte,Rodrigo,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned | Cambios — Otros,False,dicion
1136,Llama 3.3 70B · 12 000 TPM,diecinueve,1,1,1,1,diecinueve,UIA_Ms149_Exp3_43,uia_ms149,Paco,Cambios,Inserción,1,Cambios — Inserción | Cambios — Sustitución,False,diecinueve
1137,Llama 3.3 70B · 12 000 TPM,dieciocho,1,1,1,1,dieciocho,BnF_030_22,bnf_030,Paco,Cambios,Deleción,1,Cambios — Deleción | Cambios — Sustitución,False,dieciocho
1138,Llama 3.3 70B · 12 000 TPM,dieciséis,1,1,1,1,dieciséis,AGN_Indios_v009_exp002_fs3v-4_01,agn_indios,Arturo,Cambios,Sustitución,1,Cambios — Sustitución,False,dieciséis
1139,GPT OSS 120B · 8 000 TPM,dieta. estantes,1,1,1,1,dieta. estantes,AGN_Tierras_v039-2_exp003_72,agn_tierras,Edna,Puntuación,Punto (.),1,Puntuación — Punto (.),False,dieta. estantes
1140,GPT OSS 120B · 8 000 TPM,diez,1,1,1,1,diez,AMP_AC_v021__doc026_1,amp_ac,Rodrigo,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa | Cambios — Sustitución,False,diez
1141,GPT OSS 120B · 8 000 TPM,dife,1,1,1,1,dife,BnF_112_23,bnf_112,Edna,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,dife
1142,Llama 3.3 70B · 12 000 TPM,"diferencia, y",1,1,1,1,"diferencia, y",UIA_Ms149_Exp2_51,uia_ms149,Arturo,Puntuación,No sub-rule assigned,1,Puntuación — No sub-rule assigned,False,"diferencia, y"
1143,Llama 3.3 70B · 12 000 TPM,diferencia. en,1,1,1,1,diferencia. En,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_05,agn_hospjesus,Rodrigo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,diferencia. en
1144,Llama 3.3 70B · 12 000 TPM,dificultaría,1,1,1,1,dificultaría,BP_CM_32386_007_2,bp_cm,Rodrigo,Cambios,Inserción,1,Cambios — Inserción,False,dificultaría
1145,GPT OSS 120B · 8 000 TPM,difinia,1,1,1,1,difinia,BnF_032_36,bnf_032,Paco,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,difinia
1146,Llama 3.3 70B · 12 000 TPM,digo que baltasar,1,1,1,1,digo que Baltasar,BnF_110_09,bnf_110,Alba,Cambios,Deleción,1,Cambios — Deleción,False,digo que baltasar
1147,Llama 3.3 70B · 12 000 TPM,dijeron,1,1,1,1,Dijeron,utblac_JGI_XXIII-09_Amula_25,utblac_jgi,Rodrigo,Cambios,Inserción,1,Cambios — Inserción,False,dijeron
1148,GPT OSS 120B · 8 000 TPM,dilación al,1,1,1,1,dilación al,AGN_Marina_v004_exp006_005,agn_marina,Edna,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,dilación al
1149,Llama 3.3 70B · 12 000 TPM,diligentemente,1,1,1,1,diligentemente,utblac_JGI_XXIII-09_Amula_25,utblac_jgi,Rodrigo,Cambios,Inserción,1,Cambios — Inserción | Cambios — Sustitución,False,diligentemente
1150,GPT OSS 120B · 8 000 TPM,diligja,1,1,1,1,diligja,AGN_RealesCedDup_v050_exp062,agn_realesceddup,Paloma,Abreviaturas,No sub-rule assigned,1,Abreviaturas — No sub-rule assigned,False,diligja
1151,GPT OSS 120B · 8 000 TPM,dios,1,1,1,1,Dios,BnF_113_22,bnf_113,Paloma,Cambios,Deleción,1,Cambios — Deleción,False,dios
1152,GPT OSS 120B · 8 000 TPM,dios señor,1,1,1,1,Dios señor,AGN_Indios_v009_exp003_fs4v-5_01,agn_indios,Arturo,Cambios,Sustitución,1,Cambios — Sustitución,False,dios señor
1153,Llama 3.3 70B · 12 000 TPM,"dios, en",1,1,1,1,"Dios, en",AGN_Indios_v009_exp002_fs3v-4_01,agn_indios,Arturo,Cambios,Inserción,1,Cambios — Inserción | Cambios — Sustitución,False,"dios, en"
1154,Llama 3.3 70B · 12 000 TPM,discípulo en,1,1,1,1,discípulo en,BnF_264_12,bnf_264,Edna,Cambios,Deleción,1,Cambios — Deleción,False,discípulo en
1155,Llama 3.3 70B · 12 000 TPM,disfrutó,1,1,1,1,disfrutó,BnF_032_33,bnf_032,Adriana,Cambios,Sustitución,1,Cambios — Sustitución,False,disfrutó
1156,Llama 3.3 70B · 12 000 TPM,disminuido,1,1,1,1,disminuido,BnF_119-148_33,bnf_119-148,Paloma,Cambios,Inserción,1,Cambios — Inserción,False,disminuido
1157,GPT OSS 120B · 8 000 TPM,dispusision,1,1,1,1,dispusision,BnF_112_02,bnf_112,Arturo,Filológicas - mecánicas,Regularización de sibilantes,1,Filológicas - mecánicas — Regularización de sibilantes,False,dispusision
1158,Llama 3.3 70B · 12 000 TPM,"distrito, y",1,1,1,1,"distrito, y",utblac_wbs_0912a_duplicated,utblac_wbs,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"distrito, y"
1159,GPT OSS 120B · 8 000 TPM,dixere,1,1,1,1,dixere,BnF_112_04,bnf_112,Paloma,Filológicas - instrucciones,x sibilante → j,1,Filológicas - instrucciones — x sibilante → j,False,dixere
1160,GPT OSS 120B · 8 000 TPM,dixeron,1,1,1,1,dixeron,BnF_111_20,bnf_111,Flor,Filológicas - instrucciones,x sibilante → j,1,Filológicas - instrucciones — x sibilante → j,False,dixeron
1161,GPT OSS 120B · 8 000 TPM,diziendo,1,1,1,1,diziendo,BnF_112_02,bnf_112,Arturo,Filológicas - mecánicas,Regularización de sibilantes,1,Filológicas - mecánicas — Regularización de sibilantes | Puntuación — No sub-rule assigned,False,diziendo
1162,Llama 3.3 70B · 12 000 TPM,do es ro,1,1,1,1,do es ro,BnF_104_3,bnf_104,Alba,Abreviaturas,No sub-rule assigned,1,Abreviaturas — No sub-rule assigned,False,do es ro
1163,GPT OSS 120B · 8 000 TPM,doctor,1,1,1,1,doctor,AGN_AHHacienda_v268_exp046_01,agn_ahhacienda,Adriana,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,doctor
1164,GPT OSS 120B · 8 000 TPM,doi,1,1,1,1,doi,AGN_Mercedes_v003_exp520,agn_mercedes,Alba,Filológicas - instrucciones,Regularización de i/y vocálicas,1,Filológicas - instrucciones — Regularización de i/y vocálicas,False,doi
1165,Llama 3.3 70B · 12 000 TPM,dolos,1,1,1,1,dolos,BnF_111_21,bnf_111,Flor,Cambios,Inserción,1,Cambios — Inserción,False,dolos
1166,Llama 3.3 70B · 12 000 TPM,domesticados,1,1,1,1,domesticados,BnF_075_026,bnf_075,Arturo,Cambios,Sustitución,1,Cambios — Sustitución,False,domesticados
1167,GPT OSS 120B · 8 000 TPM,don,1,1,1,1,Don,AGS_CE_RG_L379_01,ags_ce,Javier,Abreviaturas,No sub-rule assigned,1,Abreviaturas — No sub-rule assigned | Puntuación — Punto (.),False,don
1168,Llama 3.3 70B · 12 000 TPM,don enriquez,1,1,1,1,don Enriquez,AGN_GralParte_v001_exp1020_02,agn_gralparte,Edna,Abreviaturas,No sub-rule assigned,1,Abreviaturas — No sub-rule assigned | Puntuación — No sub-rule assigned,False,don enriquez
1169,Llama 3.3 70B · 12 000 TPM,donó,1,1,1,1,donó,BnF_394_10,bnf_394,Flor,Cambios,Sustitución,1,Cambios — Sustitución,False,donó
1170,GPT OSS 120B · 8 000 TPM,dor,1,1,1,1,dor,AGN_RealesCedDup_v030_exp874,agn_realesceddup,Alba,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,dor
1171,Llama 3.3 70B · 12 000 TPM,dor.,1,1,1,1,dor.,BnF_117_03,bnf_117,Arturo,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,dor.
1172,Llama 3.3 70B · 12 000 TPM,doscientos,1,1,1,1,doscientos,BnF_113_43,bnf_113,Paloma,Cambios,Sustitución,1,Cambios — Sustitución,False,doscientos
1173,GPT OSS 120B · 8 000 TPM,dras,1,1,1,1,dras,BnF_111_20,bnf_111,Flor,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,dras
1174,Llama 3.3 70B · 12 000 TPM,dro,1,1,1,1,dro,AGN_Inquisicion_v1568A_exp152_fs115-116v_03,agn_inquisicion,Javier,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,dro
1175,Llama 3.3 70B · 12 000 TPM,dros,1,1,1,1,dros,AGI_CONTRATACION_1089_N8_151,agi_contratacion,Paco,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,dros
1176,Llama 3.3 70B · 12 000 TPM,dueños,1,1,1,1,dueños,BnF_119-148_33,bnf_119-148,Paloma,Cambios,Deleción,1,Cambios — Deleción,False,dueños
1177,Llama 3.3 70B · 12 000 TPM,dulce. más,1,1,1,1,dulce. Más,AGI_INDIFERENTE_1529_N8_06,agi_indiferente,Rodrigo,Puntuación,Punto (.),1,Puntuación — Punto (.),False,dulce. más
1178,Llama 3.3 70B · 12 000 TPM,duodécimo,1,1,1,1,duodécimo,BnF_264_02,bnf_264,Paloma,Cambios,Sustitución,1,Cambios — Sustitución,False,duodécimo
1179,GPT OSS 120B · 8 000 TPM,dy,1,1,1,1,dy,BnF_113_22,bnf_113,Paloma,Filológicas - mecánicas,Regularización de sibilantes,1,Filológicas - mecánicas — Regularización de sibilantes,False,dy
1180,Llama 3.3 70B · 12 000 TPM,dã­as,1,1,1,1,dÃ­as,BnF_266_05,bnf_266,Adriana,Cambios,Otros,1,Cambios — Otros | Cambios — Sustitución,False,dã­as
1181,Llama 3.3 70B · 12 000 TPM,dé,1,1,1,1,dé,AGN_Inquisicion_v1570A_exp134_fs159-160v_02,agn_inquisicion,Adriana,Cambios,Sustitución,1,Cambios — Sustitución,False,dé
1182,Llama 3.3 70B · 12 000 TPM,día anterior,1,1,1,1,día anterior,BnF_266_10,bnf_266,Flor,Cambios,Sustitución,1,Cambios — Sustitución,False,día anterior
1183,Llama 3.3 70B · 12 000 TPM,"día,",1,1,1,1,"día,",BnF_032_23,bnf_032,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"día,"
1184,GPT OSS 120B · 8 000 TPM,días tiempos,1,1,1,1,días tiempos,AGN_Indios_v009_exp003_fs4v-5_01,agn_indios,Arturo,Puntuación,No sub-rule assigned,1,Puntuación — No sub-rule assigned,False,días tiempos
1185,Llama 3.3 70B · 12 000 TPM,días. a,1,1,1,1,días. A,BnF_117_13,bnf_117,Paco,Puntuación,Punto (.),1,Puntuación — Punto (.),False,días. a
1186,Llama 3.3 70B · 12 000 TPM,e,1,1,1,1,E,AGN_Inquisicion_v1568A_exp152_fs115-116v_03,agn_inquisicion,Javier,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,e
1187,Llama 3.3 70B · 12 000 TPM,e parto,1,1,1,1,e parto,AGN_GralParte_v006_exp617_02,agn_gralparte,Rodrigo,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa | Cambios — Otros,False,e parto
1188,Llama 3.3 70B · 12 000 TPM,echaban.,1,1,1,1,echaban.,BnF_266_10,bnf_266,Flor,Cambios,Sustitución,1,Cambios — Sustitución | Puntuación — Punto (.),False,echaban.
1189,Llama 3.3 70B · 12 000 TPM,echasteis,1,1,1,1,echasteis,UIA_Ms149_Exp2_51,uia_ms149,Arturo,Cambios,Inserción,1,Cambios — Inserción,False,echasteis
1190,GPT OSS 120B · 8 000 TPM,eclesiã¡stica,1,1,1,1,eclesiÃ¡stica,AGN_Mercedes_v003_exp520,agn_mercedes,Alba,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned,False,eclesiã¡stica
1191,GPT OSS 120B · 8 000 TPM,edificio,1,1,1,1,edificio,BNE_ms3047_4,bne_ms3047,Javier,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,edificio
1192,Llama 3.3 70B · 12 000 TPM,"efecto, cambio",1,1,1,1,"efecto, cambio",BnF_174_03,bnf_174,Arturo,Acentuación,No sub-rule assigned,1,"Acentuación — No sub-rule assigned | Puntuación — Coma (,)",False,"efecto, cambio"
1193,Llama 3.3 70B · 12 000 TPM,ejecución,1,1,1,1,ejecución,AGN_IndiferenteVirreinal_caja4071_exp024_1,agn_indiferentevirreinal,Rodrigo,Cambios,Sustitución,1,Cambios — Sustitución,False,ejecución
1194,Llama 3.3 70B · 12 000 TPM,ejecutará,1,1,1,1,ejecutará,AGN_Indios_v009_exp002_fs3v-4_01,agn_indios,Arturo,Cambios,Sustitución,1,Cambios — Sustitución,False,ejecutará
1195,Llama 3.3 70B · 12 000 TPM,ejecutarã¡,1,1,1,1,ejecutarÃ¡,BnF_266_05,bnf_266,Adriana,Cambios,Otros,1,Cambios — Otros | Cambios — Sustitución,False,ejecutarã¡
1196,Llama 3.3 70B · 12 000 TPM,el amor,1,1,1,1,el amor,BnF_264_12,bnf_264,Edna,Cambios,Deleción,1,Cambios — Deleción,False,el amor
1197,Llama 3.3 70B · 12 000 TPM,el hijo,1,1,1,1,el hijo,BnF_110_09,bnf_110,Alba,Cambios,Inserción,1,Cambios — Inserción,False,el hijo
1198,GPT OSS 120B · 8 000 TPM,el mayordomo,1,1,1,1,el mayordomo,BnF_030_27,bnf_030,Rodrigo,Cambios,Deleción,1,Cambios — Deleción,False,el mayordomo
1199,Llama 3.3 70B · 12 000 TPM,el me,1,1,1,1,el me,BnF_117_08,bnf_117,Edna,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,el me
1200,Llama 3.3 70B · 12 000 TPM,el que,1,1,1,1,el que,BnF_266_07,bnf_266,Paco,Cambios,Sustitución,1,Cambios — Sustitución,False,el que
1201,Llama 3.3 70B · 12 000 TPM,el testigo,1,1,1,1,el testigo,UIA_Ms149_Exp3_31,uia_ms149,Alba,Cambios,Deleción,1,Cambios — Deleción,False,el testigo
1202,Llama 3.3 70B · 12 000 TPM,"ellas, y",1,1,1,1,"ellas, y",BnF_174_03,bnf_174,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"ellas, y"
1203,Llama 3.3 70B · 12 000 TPM,ellas.,1,1,1,1,ellas.,AGN_Tierras_v039-2_exp003_41,agn_tierras,Flor,Puntuación,Punto (.),1,Puntuación — Punto (.),False,ellas.
1204,Llama 3.3 70B · 12 000 TPM,ello,1,1,1,1,ello,BnF_118_05,bnf_118,Alba,Cambios,Deleción,1,Cambios — Deleción,False,ello
1205,Llama 3.3 70B · 12 000 TPM,"ello,",1,1,1,1,"ello,",BnF_118_08,bnf_118,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"ello,"
1206,GPT OSS 120B · 8 000 TPM,ello.,1,1,1,1,ello.,BnF_112_02,bnf_112,Arturo,Puntuación,Punto (.),1,Puntuación — Punto (.),False,ello.
1207,GPT OSS 120B · 8 000 TPM,embiar,1,1,1,1,embiar,AGN_IndiferenteVirreinal_caja4071_exp024_2,agn_indiferentevirreinal,Paloma,Filológicas - mecánicas,Regularización de nasales ante labial,1,Filológicas - mecánicas — Regularización de nasales ante labial,False,embiar
1208,Llama 3.3 70B · 12 000 TPM,embriaguez;,1,1,1,1,embriaguez;,BnF_283_12,bnf_283,Javier,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,embriaguez;
1209,Llama 3.3 70B · 12 000 TPM,embrujos,1,1,1,1,embrujos,utblac_gg_mss_g62_duplicated_03,utblac_gg,Flor,Cambios,Sustitución,1,Cambios — Sustitución,False,embrujos
1210,GPT OSS 120B · 8 000 TPM,empedimio,1,1,1,1,Empedimio,AGN_Mercedes_v003_exp520,agn_mercedes,Alba,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,empedimio
1211,Llama 3.3 70B · 12 000 TPM,empezó a manifestarse,1,1,1,1,Empezó a manifestarse,BnF_266_06,bnf_266,Adriana,Cambios,Sustitución,1,Cambios — Sustitución,False,empezó a manifestarse
1212,Llama 3.3 70B · 12 000 TPM,empeã±ã³,1,1,1,1,empeÃ±Ã³,BnF_266_05,bnf_266,Adriana,Cambios,Otros,1,Cambios — Otros | Cambios — Sustitución,False,empeã±ã³
1213,Llama 3.3 70B · 12 000 TPM,en,1,1,1,1,En,UIA_Ms149_Exp2_51,uia_ms149,Arturo,Cambios,Deleción,1,Cambios — Deleción,False,en
1214,Llama 3.3 70B · 12 000 TPM,en bio,1,1,1,1,en bio,BnF_264_03,bnf_264,Adriana,Cambios,Sustitución,1,Cambios — Sustitución | Filológicas - instrucciones — Regularización de labiales (b/v),False,en bio
1215,Llama 3.3 70B · 12 000 TPM,en el espacio,1,1,1,1,en el espacio,BnF_264_03,bnf_264,Adriana,Cambios,Inserción,1,Cambios — Inserción,False,en el espacio
1216,GPT OSS 120B · 8 000 TPM,en el viaje,1,1,1,1,en el viaje,AGI_INDIFERENTE_2065_N45_09,agi_indiferente,Rodrigo,Cambios,Inserción,1,Cambios — Inserción | Cambios — Sustitución,False,en el viaje
1217,Llama 3.3 70B · 12 000 TPM,en la,1,1,1,1,En la,BnF_104_3,bnf_104,Alba,Cambios,Deleción,1,Cambios — Deleción,False,en la
1218,GPT OSS 120B · 8 000 TPM,en se,1,1,1,1,en se,AGN_Indios_v002_exp835,agn_indios,Paloma,Cambios,Deleción,1,Cambios — Deleción,False,en se
1219,GPT OSS 120B · 8 000 TPM,enagã©naciã³n,1,1,1,1,enagÃ©naciÃ³n,AGN_Mercedes_v003_exp520,agn_mercedes,Alba,Cambios,Sustitución,1,Cambios — Sustitución,False,enagã©naciã³n
1220,Llama 3.3 70B · 12 000 TPM,"enbar, gos",1,1,1,1,"enbar, gos",BnF_104_3,bnf_104,Alba,Filológicas - mecánicas,Regularización de nasales ante labial,1,Filológicas - mecánicas — Regularización de nasales ante labial,False,"enbar, gos"
1221,Llama 3.3 70B · 12 000 TPM,"encargado, lo",1,1,1,1,"encargado, lo",BnF_244_03,bnf_244,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"encargado, lo"
1222,Llama 3.3 70B · 12 000 TPM,encarnación del hijo de dios,1,1,1,1,encarnación del Hijo de Dios,BnF_264_03,bnf_264,Adriana,Cambios,Deleción,1,Cambios — Deleción | Cambios — Sustitución,False,encarnación del hijo de dios
1223,Llama 3.3 70B · 12 000 TPM,encruzijadas,1,1,1,1,Encruzijadas,BnF_075_035,bnf_075,Arturo,Filológicas - mecánicas,Regularización de sibilantes,1,Filológicas - mecánicas — Regularización de sibilantes,False,encruzijadas
1224,Llama 3.3 70B · 12 000 TPM,endeblez,1,1,1,1,endeblez,BP_CM_32386_007_2,bp_cm,Rodrigo,Cambios,Inserción,1,Cambios — Inserción,False,endeblez
1225,GPT OSS 120B · 8 000 TPM,enl,1,1,1,1,enl,AGN_GralParte_v006_exp617_01,agn_gralparte,Rodrigo,Cambios,Otros,1,Cambios — Otros,False,enl
1226,Llama 3.3 70B · 12 000 TPM,enmdo,1,1,1,1,Enmdo,AGN_Inquisicion_v1568A_exp152_fs115-116v_03,agn_inquisicion,Javier,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,enmdo
1227,Llama 3.3 70B · 12 000 TPM,enrriquez,1,1,1,1,Enrriquez,BnF_119-148_18,bnf_119-148,Arturo,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned | Filológicas - mecánicas — Regularización de vibrantes,False,enrriquez
1228,Llama 3.3 70B · 12 000 TPM,"enríquez, virrey",1,1,1,1,"Enríquez, virrey",BnF_119-148_16,bnf_119-148,Flor,Cambios,Deleción,1,Cambios — Deleción | Cambios — Sustitución,False,"enríquez, virrey"
1229,Llama 3.3 70B · 12 000 TPM,enseã±ã³,1,1,1,1,enseÃ±Ã³,BnF_266_05,bnf_266,Adriana,Cambios,Otros,1,Cambios — Otros | Cambios — Sustitución,False,enseã±ã³
1230,GPT OSS 120B · 8 000 TPM,enseñansa,1,1,1,1,enseñansa,BNE_ms3047_1,bne_ms3047,Rodrigo,Filológicas - mecánicas,Regularización de sibilantes,1,Filológicas - mecánicas — Regularización de sibilantes,False,enseñansa
1231,Llama 3.3 70B · 12 000 TPM,entender,1,1,1,1,entender,BnF_032_23,bnf_032,Arturo,Cambios,Otros,1,Cambios — Otros,False,entender
1232,Llama 3.3 70B · 12 000 TPM,entendi,1,1,1,1,Entendi,BnF_118_08,bnf_118,Arturo,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned,False,entendi
1233,Llama 3.3 70B · 12 000 TPM,entendibles,1,1,1,1,entendibles,BnF_075_035,bnf_075,Arturo,Cambios,Sustitución,1,Cambios — Sustitución,False,entendibles
1234,GPT OSS 120B · 8 000 TPM,entendiendolo,1,1,1,1,Entendiendolo,AGI_PATRONATO_182_R3_01,agi_patronato,Alba,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned,False,entendiendolo
1235,Llama 3.3 70B · 12 000 TPM,entendimos,1,1,1,1,entendimos,utblac_wbs_1433_duplicated_1,utblac_wbs,Rodrigo,Cambios,Deleción,1,Cambios — Deleción,False,entendimos
1236,GPT OSS 120B · 8 000 TPM,entendimyento,1,1,1,1,entendimyento,BnF_112_04,bnf_112,Paloma,Filológicas - instrucciones,Regularización de i/y vocálicas,1,Filológicas - instrucciones — Regularización de i/y vocálicas,False,entendimyento
1237,Llama 3.3 70B · 12 000 TPM,entendió,1,1,1,1,entendió,BnF_266_10,bnf_266,Flor,Cambios,Sustitución,1,Cambios — Sustitución,False,entendió
1238,GPT OSS 120B · 8 000 TPM,enteros: más,1,1,1,1,enteros: más,BNE_ms3047_1,bne_ms3047,Rodrigo,Puntuación,Punto (.),1,Puntuación — Punto (.),False,enteros: más
1239,Llama 3.3 70B · 12 000 TPM,entrañas,1,1,1,1,entrañas,BnF_244_02,bnf_244,Alba,Cambios,Inserción,1,Cambios — Inserción,False,entrañas
1240,GPT OSS 120B · 8 000 TPM,entre ellos,1,1,1,1,entre ellos,AGN_Indios_v009_exp003_fs4v-5_01,agn_indios,Arturo,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",1,"Abreviaturas — Excepciones (desto/a/os, dello/a/os)",False,entre ellos
1241,Llama 3.3 70B · 12 000 TPM,enviará,1,1,1,1,enviará,utblac_gg_mss_g62_duplicated_03,utblac_gg,Flor,Cambios,Sustitución,1,Cambios — Sustitución,False,enviará
1242,Llama 3.3 70B · 12 000 TPM,envíe,1,1,1,1,envíe,LoC_HPKraus_138_new_14,loc_hpkraus,Rodrigo,Cambios,Sustitución,1,Cambios — Sustitución,False,envíe
1243,Llama 3.3 70B · 12 000 TPM,eran,1,1,1,1,eran,BnF_264_03,bnf_264,Adriana,Cambios,Sustitución,1,Cambios — Sustitución,False,eran
1244,GPT OSS 120B · 8 000 TPM,erede,1,1,1,1,Erede,BnF_112_23,bnf_112,Edna,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned | Filológicas - instrucciones — Regularización de H etimológica,False,erede
1245,GPT OSS 120B · 8 000 TPM,es decir,1,1,1,1,es decir,AGS_CE_RG_L379_01,ags_ce,Javier,Cambios,Sustitución,1,Cambios — Sustitución,False,es decir
1246,Llama 3.3 70B · 12 000 TPM,es que,1,1,1,1,es que,utblac_wbs_1433_duplicated_1,utblac_wbs,Rodrigo,Cambios,Deleción,1,Cambios — Deleción,False,es que
1247,GPT OSS 120B · 8 000 TPM,escno,1,1,1,1,escno,BnF_032_15,bnf_032,Flor,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,escno
1248,Llama 3.3 70B · 12 000 TPM,escomuniã³n,1,1,1,1,escomuniÃ³n,BnF_266_05,bnf_266,Adriana,Cambios,Otros,1,Cambios — Otros | Cambios — Sustitución,False,escomuniã³n
1249,GPT OSS 120B · 8 000 TPM,escribano,1,1,1,1,escribano,AMP_AC_v021__doc026_1,amp_ac,Rodrigo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,escribano
1250,Llama 3.3 70B · 12 000 TPM,escribano,1,1,1,1,escribano,BP_CM_R481_016,bp_cm,Arturo,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa | Cambios — Sustitución,False,escribano
1251,GPT OSS 120B · 8 000 TPM,escribió,1,1,1,1,escribió,AGI_INDIFERENTE_2065_N45_09,agi_indiferente,Rodrigo,Abreviaturas,No sub-rule assigned,1,Abreviaturas — No sub-rule assigned | Cambios — Sustitución,False,escribió
1252,Llama 3.3 70B · 12 000 TPM,escribí,1,1,1,1,escribí,BnF_032_23,bnf_032,Arturo,Cambios,Sustitución,1,Cambios — Sustitución,False,escribí
1253,Llama 3.3 70B · 12 000 TPM,escrito,1,1,1,1,Escrito,BnF_118_03,bnf_118,Paloma,Cambios,Deleción,1,Cambios — Deleción,False,escrito
1254,GPT OSS 120B · 8 000 TPM,eses,1,1,1,1,eses,BnF_116_02,bnf_116,Paco,Cambios,Deleción,1,Cambios — Deleción,False,eses
1255,GPT OSS 120B · 8 000 TPM,esmo,1,1,1,1,esmo,AGN_RealesCedDup_v050_exp062,agn_realesceddup,Paloma,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,esmo
1256,Llama 3.3 70B · 12 000 TPM,esn.,1,1,1,1,Esn.,BnF_174_03,bnf_174,Arturo,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa | Cambios — Inserción,False,esn.
1257,GPT OSS 120B · 8 000 TPM,esniores,1,1,1,1,esniores,AGI_PATRONATO_182_R3_01,agi_patronato,Alba,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",1,"Abreviaturas — Excepciones (desto/a/os, dello/a/os) | Cambios — Inserción",False,esniores
1258,Llama 3.3 70B · 12 000 TPM,esno,1,1,1,1,esno,BnF_032_23,bnf_032,Arturo,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,esno
1259,GPT OSS 120B · 8 000 TPM,espanola,1,1,1,1,espanola,BnF_112_25,bnf_112,Paco,Filológicas - instrucciones,No sub-rule assigned,1,Filológicas - instrucciones — No sub-rule assigned,False,espanola
1260,Llama 3.3 70B · 12 000 TPM,espaã±a,1,1,1,1,EspaÃ±a,BnF_266_05,bnf_266,Adriana,Cambios,Otros,1,Cambios — Otros | Cambios — Sustitución,False,espaã±a
